Agency Name,County,IncidentDate,LEOKA Assignment Type (NIBRS),LEOKA Circumstance,NIBRS Crime Description,NIBRS Report Title,Victim Age (group),Victim Gender,Victim Race,Distinct Offense Victims
Gresham PD MIP,Multnomah,10/24/2021,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,20,Male,Unknown,1
Portland Police Bureau MIP,Multnomah,4/23/2021,Two Man Vehicle,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,20,Female,White,1
Clatsop SO,Clatsop,3/31/2022,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,21,Female,Unknown,1
Corvallis PD,Benton,5/21/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,21,Male,White,1
Corvallis PD,Benton,3/27/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,21,Male,White,1
Central Point PD,Jackson,1/9/2021,Other - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,22,Female,White,1
Corvallis PD,Benton,7/24/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,22,Male,Black or African American,1
Corvallis PD,Benton,9/3/2021,One Man Vehicle - Alone,Responding to Domestic Disturbance,Simple Assault,Simple Assault,22,Male,Black or African American,1
Corvallis PD,Benton,3/9/2022,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,22,Male,Black or African American,1
Corvallis PD,Benton,3/11/2022,One Man Vehicle - Alone,Responding to Domestic Disturbance,Simple Assault,Simple Assault,22,Male,Black or African American,1
Corvallis PD,Benton,1/11/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,22,Female,White,1
Hillsboro PD MIP,Washington,3/21/2021,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,22,Male,White,1
Marion SO,Marion,11/12/2021,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,22,Male,Black or African American,1
Medford PD,Jackson,3/6/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Intimidation,Intimidation,22,Male,White,1
Medford PD,Jackson,11/14/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,22,Male,White,1
Medford PD,Jackson,11/21/2020,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,22,Male,White,1
Multnomah SO,Multnomah,7/19/2020,Other - Alone,All Other,Aggravated Assault,Aggravated Assault,22,Male,Hispanic or Latino,1
Salem PD MIP,MARION,9/27/2021,Two Man Vehicle,Attempting Other Arrests,Intimidation,Intimidation,22,Male,White,1
